               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.076559,             0.01675,                   0,             0.44689,             0.48256,             0.41907,               0.136,            0.074723,            0.010481,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.071079,            0.016635,                   0,             0.44689,             0.48256,             0.41907,               0.136,            0.074723,            0.010481,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.071221,            0.016725,                   0,             0.45153,             0.41667,              0.3329,              0.1059,            0.077067,             0.01049,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.078746,             0.01926,                   0,             0.45153,             0.41667,              0.3329,              0.1059,            0.077067,             0.01049,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.074667,            0.020961,                   0,              0.4692,             0.42971,              0.3851,             0.11038,            0.076002,            0.010542,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.075014,            0.018336,                   0,              0.4692,             0.42971,              0.3851,             0.11038,            0.076002,            0.010542,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.071574,            0.020559,                   0,             0.53426,             0.43056,             0.44794,             0.15667,            0.067173,            0.010473,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.074241,            0.017108,                   0,             0.53426,             0.43056,             0.44794,             0.15667,            0.067173,            0.010473,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.074989,            0.019083,                   0,             0.42562,             0.48373,              0.3631,            0.098397,            0.079489,            0.010468,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.075326,            0.017806,                   0,             0.42562,             0.48373,              0.3631,            0.098397,            0.079489,            0.010468,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.073333,            0.016735,                   0,             0.44772,             0.43056,             0.33774,             0.08468,            0.078196,             0.01029,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.085391,            0.015794,                   0,             0.44772,             0.43056,             0.33774,             0.08468,            0.078196,             0.01029,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.086768,            0.018116,                   0,             0.46808,             0.56944,              0.4266,             0.13043,            0.066678,            0.010128,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.066413,            0.015646,                   0,             0.46808,             0.56944,              0.4266,             0.13043,            0.066678,            0.010128,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.070877,            0.020937,                   0,             0.42743,                 0.5,              0.4208,             0.13249,            0.066171,            0.010023,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,             0.06423,            0.017223,                   0,             0.42743,                 0.5,              0.4208,             0.13249,            0.066171,            0.010023,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.067706,            0.021802,                   0,             0.48657,             0.56601,             0.44433,             0.14392,            0.067044,           0.0096912,                   0,             0.00802,             0.00802,             0.00802
                 102,             0.06925,            0.019408,                   0,             0.48657,             0.56601,             0.44433,             0.14392,            0.067044,           0.0096912,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.063615,            0.015535,                   0,             0.51925,             0.52778,              0.4493,             0.13997,            0.070282,           0.0094967,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,             0.07635,            0.024797,                   0,             0.51925,             0.52778,              0.4493,             0.13997,            0.070282,           0.0094967,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.070357,            0.018004,                   0,             0.41732,             0.56944,             0.38236,             0.13836,            0.066242,           0.0094643,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.068407,            0.019005,                   0,             0.41732,             0.56944,             0.38236,             0.13836,            0.066242,           0.0094643,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.063433,            0.015586,                   0,             0.48396,             0.51389,             0.46019,             0.15573,            0.064063,           0.0096207,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,             0.06593,            0.019391,                   0,             0.48396,             0.51389,             0.46019,             0.15573,            0.064063,           0.0096207,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,             0.07059,            0.018832,                   0,             0.50331,             0.52778,              0.5037,             0.16315,            0.064364,           0.0095196,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.075674,            0.017867,                   0,             0.50331,             0.52778,              0.5037,             0.16315,            0.064364,           0.0095196,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.070333,            0.016658,                   0,             0.53125,             0.50375,             0.53283,             0.17333,            0.067018,           0.0091591,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.066295,            0.019464,                   0,             0.53125,             0.50375,             0.53283,             0.17333,            0.067018,           0.0091591,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.070569,             0.01804,                   0,             0.54171,             0.48611,             0.52588,             0.17673,            0.067169,            0.009079,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.065833,            0.015579,                   0,             0.54171,             0.48611,             0.52588,             0.17673,            0.067169,            0.009079,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.065272,            0.016509,                   0,             0.40026,             0.47222,             0.29431,            0.067857,            0.070161,           0.0089474,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.083354,            0.015501,                   0,             0.40026,             0.47222,             0.29431,            0.067857,            0.070161,           0.0089474,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.077771,            0.013126,                   0,             0.48235,             0.44444,             0.41074,              0.1286,            0.067135,           0.0089264,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.069495,            0.015259,                   0,             0.48235,             0.44444,             0.41074,              0.1286,            0.067135,           0.0089264,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.060579,            0.016881,                   0,             0.47874,             0.56944,             0.46665,             0.16303,             0.06005,           0.0089893,                   0,           0.0076636,           0.0076636,           0.0076636
